cca3,name,worldFactbookCountryKey,location,parentCountryCca3,flagDescription
AFG,Afghanistan,AF,"Southern Asia, north and west of Pakistan",,
ALB,Albania,AL,"Southeastern Europe, bordering the Adriatic Sea and Ionian Sea, between Greece to the south and Montenegro and Kosovo to the north",,
DZA,Algeria,AG,"Northern Africa, bordering the Mediterranean Sea, between Morocco and Tunisia",,
ASM,American Samoa,AQ,"Oceania, group of islands in the South Pacific Ocean, about halfway between Hawaii and New Zealand, northeast of Tonga",USA,
AND,Andorra,AN,"Southwestern Europe, Pyrenees mountains, on the border between France and Spain",,
AGO,Angola,AO,"Southern Africa, bordering the South Atlantic Ocean, between Namibia and Democratic Republic of the Congo",,
AIA,Anguilla,AV,"Caribbean, islands between the Caribbean Sea and North Atlantic Ocean, east of Puerto Rico",GBR,
ATA,Antarctica,AY,Continent mostly south of the Antarctic Circle,,
ATG,Antigua and Barbuda,AC,"Caribbean, islands between the Caribbean Sea and the North Atlantic Ocean, east-southeast of Puerto Rico",,
ARG,Argentina,AR,"Southern South America, bordering the South Atlantic Ocean, between Chile and Uruguay",,
ARM,Armenia,AM,"Southwestern Asia, north of the border between Turkey and Iran",,
ABW,Aruba,AA,"Caribbean, island in the Caribbean Sea, north of Venezuela",NLD,
AUS,Australia,AS,"Oceania, continent between the Indian Ocean and the South Pacific Ocean",,
AUT,Austria,AU,"Central Europe, north of Italy and Slovenia",,
AZE,Azerbaijan,AJ,"Southwestern Asia, bordering the Caspian Sea, between Iran and Russia, with a small European portion north of the Caucasus range",,
BHS,Bahamas,BF,"Chain of islands in the North Atlantic Ocean, southeast of Florida, northeast of Cuba",,
BHR,Bahrain,BA,"Middle East, archipelago in the Persian Gulf, east of Saudi Arabia",,
BGD,Bangladesh,BG,"Southern Asia, bordering the Bay of Bengal, between Myanmar and India",,
BRB,Barbados,BB,"Caribbean, island in the North Atlantic Ocean, northeast of Venezuela",,
BLR,Belarus,BO,"Eastern Europe, east of Poland",,
BEL,Belgium,BE,"Western Europe, bordering the North Sea, between France and the Netherlands",,
BLZ,Belize,BH,"Central America, bordering the Caribbean Sea to the east and Mexico to the north",,
BEN,Benin,BN,"Western Africa, between Nigeria and Togo",,
BMU,Bermuda,BD,"North America, group of islands in the North Atlantic Ocean, east of the US state of South Carolina",GBR,
BTN,Bhutan,BT,"Southern Asia, between China and India, east of Nepal",,
BOL,Bolivia,BL,"Central South America, northwest of Paraguay, southwest of Brazil",,
BIH,Bosnia and Herzegovina,BK,"Southeastern Europe, bordering the Adriatic Sea and Croatia",,
BWA,Botswana,BC,"Southern Africa, north of South Africa",,
BVT,Bouvet Island,BV,"Island in the South Atlantic Ocean, southwest of South Africa",NOR,
BRA,Brazil,BR,"Eastern South America, bordering the Atlantic Ocean",,
IOT,British Indian Ocean Territory,IO,"Archipelago in the Indian Ocean, south of India, about halfway between Africa and Indonesia",GBR,
VGB,British Virgin Islands,VI,"Caribbean, between the Caribbean Sea and the North Atlantic Ocean, east of Puerto Rico, northwest of Anguilla",GBR,
BRN,Brunei,BX,"Southeastern Asia, along the northern coast of the island of Borneo, bordering the South China Sea and Malaysia",,
BGR,Bulgaria,BU,"Southeastern Europe, bordering the Black Sea, between Romania and Turkey",,
BFA,Burkina Faso,UV,"Western Africa, north of Ghana",,
BDI,Burundi,BY,"Central Africa, east of the Democratic Republic of the Congo, west of Tanzania",,
KHM,Cambodia,CB,"Southeastern Asia, bordering the Gulf of Thailand to the southwest and Thailand to the northwest",,
CMR,Cameroon,CM,"Central Africa, bordering the Bight of Biafra, between Equatorial Guinea and Nigeria",,
CAN,Canada,CA,"Northern North America, bordering the North Atlantic Ocean on the east, North Pacific Ocean on the west, and the Arctic Ocean to the north",,
CPV,Cape Verde,CV,"Western Africa, group of islands in the North Atlantic Ocean, west of Senegal",,
BES,Caribbean Netherlands,BES,"Caribbean, islands in the Caribbean Sea, east of Curaçao and northwest of Saint Kitts and Nevis",NLD,
CYM,Cayman Islands,CJ,"Caribbean, three-island group in the Caribbean Sea, south of Cuba and northwest of Jamaica",GBR,
CAF,Central African Republic,CT,"Central Africa, north of the Democratic Republic of the Congo",,
