cca3,name,funFact
ALB,Albania,"Has over 173,000 concrete bunkers, which is about 15 per sq mi (6 per sq km) on average, and only a fraction of the over 750,000 it once had"
AIA,Anguilla,"Earns millions of dollars in revenue each year from its Internet country code top-level domain, "".ai"""
ATA,Antarctica,Contains about 70% of the world's freshwater reserves
ARM,Armenia,Made chess a mandatory part of its school curriculum
AUS,Australia,Slightly wider than the diameter of the Moon
AUS,Australia,"Home of the Great Barrier Reef, the largest coral reef system in the world"
AUT,Austria,"Home of the Schönbrunn Zoo, the oldest zoo still in existence"
AZE,Azerbaijan,"Its capital is 92 ft (28m) below sea level, the lowest national capital in the world and largest city in the world below sea level"
BHS,Bahamas,"Home of Pig Beach, part of an island inhabited not by humans but by feral pigs"
BHS,Bahamas,Has experienced snow only once in recorded history
BRB,Barbados,The birthplace of singer Rihanna
BLZ,Belize,"Home of the Cockscomb Basin Wildlife Sanctuary, the world's first nature reserve for jaguars"
BTN,Bhutan,"Due to a ban until 1999, is the last country in the world to be introduced to television"
BTN,Bhutan,Over 98% mountain
BOL,Bolivia,Maintains an active navy despite being landlocked since 1904
BRA,Brazil,Produces the most coffee of any country
IOT,British Indian Ocean Territory,"Earns millions of dollars in revenue each year from its Internet country code top-level domain, "".io"""
BGR,Bulgaria,"Its people shake their heads for ""yes"" and nod for ""no"""
CAN,Canada,Produces the most maple syrup of any country
CAN,Canada,Has an official postal code for Santa Claus: H0H 0H0
CHN,China,"Despite spanning the equivalent of five geographical time zones, uses a single national time zone"
CHN,China,Where paper and silk were invented
CHN,China,Contains the point on Earth furthest from any ocean
COL,Colombia,Supplies the most emeralds internationally of any country
COL,Colombia,The birthplace of singer Shakira
COL,Colombia,The birthplace of actress Sofía Vergara
CRI,Costa Rica,The most populous independent country to have no standing army
CUB,Cuba,"Has the highest concentration of doctors of any nationality, many of whom work abroad"
ECU,Ecuador,"Home of Chimborazo, a volcano whose peak is the farthest point on Earth from its center, thanks to how the Earth bulges around the Equator"
EGY,Egypt,Produces over half of all jasmine (flowers used for perfumes)
SLV,El Salvador,The only North American country to not border the Atlantic Ocean or Caribbean Sea
EST,Estonia,"Offers nearly all public services online, including nationwide internet voting for binding general elections, the first country to do so"
ETH,Ethiopia,Uses a calendar that is approximately seven years and three months behind the commonly used Gregorian calendar
FIN,Finland,"Originated the term ""sauna,"" and nearly all of its homes have one built in"
FIN,Finland,"Provides a ""baby box"" care package to all new parents"
FRA,France,"With its overseas territories, uses 12 different time zones, more than any other country in the world"
FRA,France,The most visited tourism destination
GEO,Georgia,Known as Sakartvelo by the natives
GRC,Greece,Where the Olympics originated
GRC,Greece,"Where Western philosophy originated, shaped largely by the philosophers Socrates, Plato, and Aristotle"
GRL,Greenland,About 45% national park
HND,Honduras,"For over a century now, up to four times a year, it experiences an unexplained ""rain of fish"""
HKG,Hong Kong,"Home of actor and martial artist Jackie Chan"
HUN,Hungary,"Its former currency, the pengő, experienced the most extreme hyperinflation ever recorded, reaching banknotes in circulation valued at 100 quintillion"
HUN,Hungary,Where the Rubik's Cube was invented
ISL,Iceland,Essentially free of mosquitoes
IND,India,Has about a third of all cows
IND,India,Produces the most bananas of any country
IND,India,All its packaged food products are marked with green for vegetarian or brown for non-vegetarian
IDN,Indonesia,"Has banned fishing and export of manta rays, becoming world's largest sanctuary for them"
IRQ,Iraq,"Where the earliest known writing system was developed, known as Cuneiform"
ISR,Israel,Nearly all of its homes use solar power to heat their water
ITA,Italy,"Had some of the most influential explorers in history, including Marco Polo, Christopher Columbus, and Amerigo Vespucci"
CIV,Ivory Coast,Produces the most cocoa of any country
JPN,Japan,Has the most vending machines per capita (per person) of any country
JOR,Jordan,"Home of the ancient city of Petra, known for its architecture carved from solid sandstone"
KAZ,Kazakhstan,Home of the launch site of the first manned spaceflight
KIR,Kiribati,The first country each year to celebrate New Year's Day
UNK,Kosovo,Home of the birthplace of singer Rita Ora
LBN,Lebanon,The birthplace of actor Keanu Reeves
LSO,Lesotho,"The largest country to be situated fully within another country (known as an ""enclave"")"
LBY,Libya,"Over 95% desert, with some areas going decades without any rainfall"
LBY,Libya,"From 1977 to 2011, its national flag was simply solid green"
LIE,Liechtenstein,"Unless you consider the Caspian Sea to be a lake, it's the world's only doubly-landlocked country"
LUX,Luxembourg,The first country in the world to have free public transportation nationwide
MDG,Madagascar,"Over 90% of its wildlife is endemic, not found anywhere else"
MHL,Marshall Islands,"Has banned all fishing of sharks in the surrounding ocean, becoming world's largest sanctuary for them"
MUS,Mauritius,The only ever home of the now-extinct dodo bird
MEX,Mexico,Home of the ancient Aztec civilization
MEX,Mexico,"Its capital city, built on the bed of a drained lake, sinks almost 20 inches (50cm) every year"
MCO,Monaco,Nearly a third of its residents are millionaires
